cartodb_id,the_geom,cartodb_georef_status,geonameid,subcountry,country,name
312,0101000020E6100000336DFFCA4A4F4EC00A2E56D460F239C0,true,3862320,Chaco,Argentina,Castelli
987,0101000020E6100000A27F828B151D3940BAA0BE654E834540,true,727337,Gabrovo,Bulgaria,Sevlievo
936,0101000020E61000003108AC1C5A241040B9DFA128D0774940,true,2803448,Flanders,Belgium,Aalst
831,0101000020E61000005F29CB10C7FA0840CBDB114E0B664940,true,2791343,Flanders,Belgium,Menen
61,0101000020E6100000642310AFEB4750404BB0389CF9794240,true,1148658,Faryab,Afghanistan,Andkhōy
561,0101000020E610000000000000002062400000000000E042C0,true,8348734,Victoria,Australia,Thornbury
401,0101000020E610000000000000002062400000000000E042C0,true,2146793,Victoria,Australia,Thornbury
450,0101000020E61000009FE5797077E762409A99999999F940C0,true,2158651,New South Wales,Australia,Maroubra
907,0101000020E61000000C93A98251891640ED0DBE30994A4940,true,2800438,Wallonia,Belgium,Chaudfontaine
197,0101000020E6100000833463D1742251C0E71DA7E8487E3FC0,true,3832653,San Juan,Argentina,Villa Paula de Sarmiento
160,0101000020E610000017D9CEF7534F4DC0FAF202ECA35341C0,true,3430545,Buenos Aires,Argentina,Morón
682,0101000020E6100000F4A62215C67656406A183E22A6743640,true,1185167,Khulna,Bangladesh,Morrelgonj
591,0101000020E6100000F4FDD478E9764840E36BCF2C09F84340,true,148565,Shirvan,Azerbaijan,Şirvan
449,0101000020E6100000E99AC937DBE462405D33F9669BF340C0,true,2158626,New South Wales,Australia,Marrickville
935,0101000020E61000006CCF2C0950930B40488AC8B08A8B4940,true,2803443,Flanders,Belgium,Aalter
230,0101000020E6100000CD58349D9DD651C0C72E51BD351444C0,true,3836951,Neuquen,Argentina,San Martín de los Andes
125,0101000020E6100000C6F99B5088483140CDCCCCCCCC4C28C0,true,3350372,Bié,Angola,Catabola
552,0101000020E6100000349D9D0C8E2062406C43C5387FF342C0,true,7932646,Victoria,Australia,Brighton East
873,0101000020E61000009DBAF2599E8715407AC2120F28874940,true,2796132,Flanders,Belgium,Helchteren
